predicted file,real file,number of residues,rmsd
128_pred.pdb,128_real.pdb,14,6.426
129_pred.pdb,129_real.pdb,8,2.566
130_pred.pdb,130_real.pdb,9,3.767
131_pred.pdb,131_real.pdb,10,4.501
132_pred.pdb,132_real.pdb,18,6.901
133_pred.pdb,133_real.pdb,9,3.226
134_pred.pdb,134_real.pdb,17,6.115
135_pred.pdb,135_real.pdb,11,5.174
136_pred.pdb,136_real.pdb,13,6.134
137_pred.pdb,137_real.pdb,11,4.752
138_pred.pdb,138_real.pdb,9,3.816
139_pred.pdb,139_real.pdb,9,3.335
140_pred.pdb,140_real.pdb,13,6.944
141_pred.pdb,141_real.pdb,11,4.585
142_pred.pdb,142_real.pdb,7,1.688
143_pred.pdb,143_real.pdb,15,6.393
144_pred.pdb,144_real.pdb,10,4.261
145_pred.pdb,145_real.pdb,8,2.86
146_pred.pdb,146_real.pdb,15,6.221
147_pred.pdb,147_real.pdb,7,2.543
148_pred.pdb,148_real.pdb,10,5.179
149_pred.pdb,149_real.pdb,7,1.894
150_pred.pdb,150_real.pdb,10,3.649
151_pred.pdb,151_real.pdb,9,3.215
152_pred.pdb,152_real.pdb,19,8.411
153_pred.pdb,153_real.pdb,13,5.632
154_pred.pdb,154_real.pdb,14,6.824
155_pred.pdb,155_real.pdb,10,2.562
156_pred.pdb,156_real.pdb,13,6.972
157_pred.pdb,157_real.pdb,15,8.221
158_pred.pdb,158_real.pdb,5,1.796
159_pred.pdb,159_real.pdb,14,6.673
160_pred.pdb,160_real.pdb,14,7.091
161_pred.pdb,161_real.pdb,7,2.068
162_pred.pdb,162_real.pdb,12,4.258
163_pred.pdb,163_real.pdb,22,8.362
164_pred.pdb,164_real.pdb,12,4.259
165_pred.pdb,165_real.pdb,10,4.121
166_pred.pdb,166_real.pdb,21,8.665
167_pred.pdb,167_real.pdb,12,6.457
168_pred.pdb,168_real.pdb,8,2.731
169_pred.pdb,169_real.pdb,12,4.79
170_pred.pdb,170_real.pdb,10,4.542
171_pred.pdb,171_real.pdb,8,3.053
172_pred.pdb,172_real.pdb,16,8.364
173_pred.pdb,173_real.pdb,10,4.137
174_pred.pdb,174_real.pdb,12,5.645
175_pred.pdb,175_real.pdb,10,3.542
176_pred.pdb,176_real.pdb,17,8.395
177_pred.pdb,177_real.pdb,13,6.728
178_pred.pdb,178_real.pdb,11,4.262
179_pred.pdb,179_real.pdb,12,4.128
180_pred.pdb,180_real.pdb,8,2.581
181_pred.pdb,181_real.pdb,11,4.873
182_pred.pdb,182_real.pdb,14,7.072
183_pred.pdb,183_real.pdb,13,5.879
184_pred.pdb,184_real.pdb,14,7.023
185_pred.pdb,185_real.pdb,8,2.749
186_pred.pdb,186_real.pdb,20,9.775
187_pred.pdb,187_real.pdb,23,8.233
188_pred.pdb,188_real.pdb,11,5.433
189_pred.pdb,189_real.pdb,7,2.156
190_pred.pdb,190_real.pdb,12,6.329
191_pred.pdb,191_real.pdb,7,2.252
192_pred.pdb,192_real.pdb,12,4.076
193_pred.pdb,193_real.pdb,12,5.911
194_pred.pdb,194_real.pdb,5,1.809
195_pred.pdb,195_real.pdb,11,5.205
196_pred.pdb,196_real.pdb,12,6.559
